FECHA_BALANCE,CODIGO_CUENTA,Título_Nombre,Subtítulo_Nombre,Ítem_Nombre,Asignación_Nombre,Denominación_Cuenta_Base,PRESUPUESTO_INICIAL,PRESUPUESTO_VIGENTE,SALDO_PRESUPUES.,OBLIGADO_PARCIAL,OBLIGADO_ACUMULADO,%_OBLIG_A_LA_FECHA,DEVENGADO_PARCIAL,DEVENGADO_ACUMULADO,PAGADO_PARCIAL,PAGADO_ACUMULADO,POR_PAGAR_A_LA_FECHA
29/02/2024,215-21-01-001-001-000,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,SUELDO BASE,1994240140,1949240140,1622279658,166881454,326960482,16.773740458679452,166881454,326960482,166881454,326960482,0
29/02/2024,215-21-01-001-002-002,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,"ASIG. DE ANTIGU. ART 97 LEY 18883,19180 Y 19280",176000000,176000000,144985914,15444247,31014086,17.621639772727274,15444247,31014086,15444247,31014086,0
29/02/2024,215-21-01-001-002-003,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,TRIENIOS LEY 15076 ART 7 INCISO 3,0,0,0,0,0,0.0,0,0,0,0,0
29/02/2024,215-21-01-001-003-001,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,"ASIG. PROFESIONAL, DECRETO LEY 479 DE 1974",578000000,578000000,481596704,48826546,96403296,16.678770934256054,48826546,96403296,48826546,96403296,0
29/02/2024,215-21-01-001-004-001,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,ASIGNACION DE ZONA ASRT 7 Y 25 D.L. N°3551,0,0,0,0,0,0.0,0,0,0,0,0
29/02/2024,215-21-01-001-004-002,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,"ASIG. DE ZONA, ART 26 DE LA LEY 19378 Y LEY 19354",0,0,0,0,0,0.0,0,0,0,0,0
29/02/2024,215-21-01-001-004-003,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,"ASIG. DE ZONA, DECRETO 450 DE 1974 LEY 19354",0,0,0,0,0,0.0,0,0,0,0,0
29/02/2024,215-21-01-001-004-004,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,COMPLEMENTO DE ZONA,0,0,0,0,0,0.0,0,0,0,0,0
29/02/2024,215-21-01-001-007-001,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,ASIG. MUNICIPAL  ART. 24 Y 31 D.L. 3551,2450000000,2450000000,2044865232,202406431,405134768,16.536112979591838,202406431,405134768,202406431,405134768,0
29/02/2024,215-21-01-001-007-002,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,ASIG. PROTECCION IMPONIBILIDAD,0,0,0,0,0,0.0,0,0,0,0,0
